,Id,Date,DeliveryDate,Quantity,Currency,Supplier,NetAmount
0,10206,2017-08-15,2017-08-24,26,USD,Computer & Co,289.380005
1,10206,2017-08-22,2017-08-31,27,USD,Computer & Co,300.51001
2,10206,2017-08-28,2017-09-07,36,USD,Computer & Co,400.679993
3,10206,2017-09-05,2017-09-14,19,USD,Computer & Co,211.470001
4,10206,2017-09-11,2017-09-19,13,USD,Computer & Co,144.690002
5,10206,2017-09-18,2017-09-24,15,USD,Computer & Co,166.949997
6,10206,2017-09-25,2017-10-02,14,USD,Computer & Co,155.820007
7,10206,2017-10-02,2017-10-09,39,USD,Computer & Co,434.070007
8,10206,2017-10-09,2017-10-17,39,USD,Computer & Co,434.070007
9,10206,2017-10-19,2017-10-28,43,USD,Computer & Co,478.589996
10,10206,2017-10-23,2017-11-01,54,USD,Computer & Co,601.02002
11,10206,2017-10-30,2017-11-06,44,USD,Computer & Co,489.720001
12,10206,2017-11-06,2017-11-16,17,USD,Computer & Co,189.210007
13,10206,2017-11-13,2017-11-18,21,USD,Computer & Co,233.729996
14,10206,2017-11-20,2017-11-28,22,USD,Computer & Co,244.860001
15,10206,2017-11-28,2017-12-07,23,USD,Computer & Co,255.990005
16,10206,2017-12-04,2017-12-14,34,USD,Computer & Co,378.420013
17,10206,2017-12-11,2017-12-21,27,USD,Computer & Co,300.51001
18,10206,2017-12-18,2017-12-27,42,USD,Computer & Co,467.459991
19,10206,2017-12-25,2018-01-01,28,USD,Computer & Co,311.640015
20,10206,2018-01-02,2018-01-07,49,USD,Computer & Co,545.369995
21,10206,2018-01-08,2018-01-14,44,USD,Computer & Co,489.720001
22,10206,2018-01-15,2018-01-19,45,USD,Computer & Co,500.850006
23,10206,2018-01-22,2018-01-27,44,USD,Computer & Co,489.720001
24,10206,2018-01-29,2018-02-09,55,USD,Computer & Co,612.150024
25,10206,2018-02-05,2018-02-11,14,USD,Computer & Co,155.820007
26,10206,2018-02-12,2018-02-19,16,USD,Computer & Co,178.080002
27,10245,2016-10-27,2016-11-02,3,USD,Computer & Co,30.0900002
28,10245,2016-11-03,2016-11-10,56,USD,Computer & Co,561.679993
29,10245,2016-11-15,2016-11-23,43,USD,Computer & Co,431.290009
30,10245,2016-11-21,2016-11-30,59,USD,Computer & Co,591.77002
31,10245,2016-11-28,2016-12-06,39,USD,Computer & Co,391.170013
32,10245,2016-12-05,2016-12-14,35,USD,Computer & Co,351.049988
33,10245,2016-12-12,2016-12-19,44,USD,Computer & Co,441.320007
34,10245,2016-12-19,2016-12-31,44,USD,Computer & Co,441.320007
35,10245,2016-12-26,2017-01-04,48,USD,Computer & Co,481.440002
36,10245,2017-01-03,2017-01-13,31,USD,Computer & Co,310.929993
37,10245,2017-01-09,2017-01-17,31,USD,Computer & Co,310.929993
38,10245,2017-01-16,2017-01-22,41,USD,Computer & Co,411.230011
39,10245,2017-01-23,2017-02-01,36,USD,Computer & Co,361.079987
40,10245,2017-01-30,2017-02-03,38,USD,Computer & Co,381.140015
41,10245,2017-02-07,2017-02-13,67,USD,Computer & Co,672.01001
42,10245,2017-02-13,2017-02-24,65,USD,Computer & Co,651.950012
43,10245,2017-02-20,2017-02-28,63,USD,Computer & Co,631.890015
44,10245,2017-02-27,2017-03-07,92,USD,Computer & Co,922.76001
45,10245,2017-03-06,2017-03-10,97,USD,Computer & Co,972.909973
46,10245,2017-03-14,2017-03-21,101,USD,Computer & Co,1013.03003
47,10245,2017-03-21,2017-03-30,119,USD,Computer & Co,1193.56995
48,10245,2017-03-27,2017-04-04,136,USD,Computer & Co,1364.07996
49,10245,2017-04-03,2017-04-08,38,USD,Computer & Co,381.140015
